"hourly_timestamp","pm1","pm10","pm25","co","no","no2","o3","country"
2024-04-01 03:00:00,6.36433333333333,12.0341666666667,6.966,172.541666666667,1.7705,13.1156666666667,16.236,"Uganda"
2024-04-01 04:00:00,10.1851666666667,25.5588333333333,11.0203333333333,255.095,1.902,14.7486666666667,10.5233333333333,"Uganda"
2024-04-01 05:00:00,8.5625,18.0611666666667,9.35016666666667,253.798333333333,1.67466666666667,20.4785,9.38683333333333,"Uganda"
2024-04-01 06:00:00,7.0755,14.9331666666667,7.70116666666667,284.359833333333,1.52716666666667,15.7156666666667,6.16766666666667,"Uganda"
2024-04-01 07:00:00,13.3133333333333,21.7695,13.892,412.3475,1.56183333333333,22.0235,3.75916666666667,"Uganda"
2024-04-01 08:00:00,14.9235,29.4773333333333,15.6375,467.885333333333,1.827,12.3125,5.68866666666667,"Uganda"
2024-04-01 09:00:00,10.5631666666667,20.0176666666667,11.09,282.027833333333,2.26883333333333,5.73833333333333,12.8326666666667,"Uganda"
2024-04-01 10:00:00,10.8218333333333,19.4453333333333,11.321,285.877833333333,2.04716666666667,6.934,15.8376666666667,"Uganda"
2024-04-01 11:00:00,12.914,21.2433333333333,13.389,519.5425,1.82533333333333,10.6111666666667,16.526,"Uganda"
2024-04-01 12:00:00,13.3271666666667,17.7645,13.6511666666667,543.372666666667,1.79183333333333,8.11666666666667,15.1325,"Uganda"
2024-04-01 13:00:00,16.2235,23.7836666666667,16.6961666666667,567.593833333333,1.88833333333333,10.5375,15.2175,"Uganda"
2024-04-01 14:00:00,14.8798333333333,23.7211666666667,15.5015,375.079333333333,2.69583333333333,3.87116666666667,20.5171666666667,"Uganda"
2024-04-01 15:00:00,12.2151666666667,22.5033333333333,12.9383333333333,206.5875,2.87816666666667,5.57083333333333,24.2685,"Uganda"
2024-04-01 16:00:00,12.313,24.3285,13.0878333333333,181.776,2.45933333333333,4.787,28.0351666666667,"Uganda"
2024-04-01 17:00:00,15.3658333333333,34.0186666666667,16.336,352.609,2.407,5.0455,28.5833333333333,"Uganda"
2024-04-01 18:00:00,16.0835,36.7978333333333,17.1343333333333,522.922833333333,2.52566666666667,12.5126666666667,24.4988333333333,"Uganda"
2024-04-01 19:00:00,22.2226666666667,58.8021666666667,23.7263333333333,830.941666666667,1.8675,26.5545,14.4663333333333,"Uganda"
2024-04-01 20:00:00,25.292,74.8445,27.2255,1069.9825,1.89783333333333,34.5773333333333,5.86666666666667,"Uganda"
2024-04-01 21:00:00,23.0683333333333,73.7501666666667,25.092,955.338666666667,1.784,32.4546666666667,4.9515,"Uganda"
2024-04-01 22:00:00,29.2828333333333,87.5213333333333,31.4213333333333,1029.74716666667,1.77333333333333,32.7063333333333,2.18116666666667,"Uganda"
2024-04-01 23:00:00,31.1813333333333,109.833166666667,34.1181666666667,1273.13833333333,1.77316666666667,32.8726666666667,-0.881166666666667,"Uganda"
2024-04-02,31.1138333333333,87.6881666666667,33.4821666666667,935.572166666667,1.81416666666667,28.3751666666667,2.79416666666667,"Uganda"
2024-04-02 01:00:00,26.6751666666667,72.491,28.597,726.516333333333,1.83,23.1408333333333,2.26516666666667,"Uganda"
2024-04-02 02:00:00,20.7466666666667,46.7453333333333,22.093,553.329,1.88716666666667,22.8311666666667,4.068,"Uganda"
2024-04-02 03:00:00,20.9195,44.0045,22.2555,562.687166666667,1.98516666666667,11.71,4.00216666666667,"Uganda"
2024-04-02 04:00:00,14.2795,22.2735,15.0065,390.406,2.06583333333333,15.0385,7.08,"Uganda"
2024-04-02 05:00:00,14.9393333333333,19.9385,15.573,319.3085,1.93616666666667,15.64,6.59916666666667,"Uganda"
2024-04-02 06:00:00,13.232,17.1131666666667,13.911,463.781,1.69616666666667,22.9241666666667,4.52983333333333,"Uganda"
2024-04-02 07:00:00,24.6488333333333,28.2703333333333,25.4466666666667,930.080833333333,3.25366666666667,32.9666666666667,-2.98383333333333,"Uganda"
2024-04-02 08:00:00,44.6275,62.82,46.1163333333333,1861.74666666667,17.7978333333333,9.10983333333333,-5.03683333333333,"Uganda"
2024-04-02 09:00:00,58.4281666666667,82.1078333333333,60.3248333333333,2359.17133333333,25.8803333333333,6.88683333333333,-2.30416666666667,"Uganda"
2024-04-02 10:00:00,29.6988524590164,39.4795081967213,30.5806557377049,1219.1368852459,1.93770491803279,16.8524590163934,5.18918032786885,"Uganda"
2024-04-02 11:00:00,13.06,21.7481355932203,13.6066101694915,589.156101694915,1.87067796610169,8.66423728813559,9.32203389830508,"Uganda"
2024-04-02 12:00:00,9.066,17.722,9.62433333333333,350.055333333333,2.52216666666667,6.03283333333333,13.5745,"Uganda"
2024-04-02 13:00:00,8.412,18.8115,9.01316666666667,277.0985,2.96266666666667,4.31266666666667,16.2443333333333,"Uganda"
2024-04-02 14:00:00,8.007,18.2721666666667,8.67666666666667,192.45,2.95266666666667,4.6525,18.4808333333333,"Uganda"
2024-04-02 15:00:00,7.28283333333333,17.1883333333333,7.893,131.351,2.72983333333333,4.46066666666667,22.0583333333333,"Uganda"
2024-04-02 16:00:00,8.09183333333333,17.4625,8.71066666666667,125.168,2.6095,4.71966666666667,24.1151666666667,"Uganda"
2024-04-02 17:00:00,12.7855,27.7025,13.695,254.120833333333,2.463,6.2635,23.6331666666667,"Uganda"
2024-04-02 18:00:00,15.886393442623,37.4827868852459,17.243606557377,596.226229508197,2.69819672131148,12.896393442623,18.2173770491803,"Uganda"
2024-04-02 19:00:00,10.6081355932203,25.3691525423729,11.4284745762712,524.485254237288,1.9506779661017,26.366779661017,13.7516949152542,"Uganda"
